i;U;T_stack;rh_ca;rh_an;st_ca;st_an;x_o2_ca;p_ca_out;p_an_out;figure;cell_id;hfr
0,618;0,6966;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;5,96E-06
0,8963;0,6391;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;6,29E-06
1,0514;0,6006;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;6,54E-06
1,2183;0,5494;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;6,74E-06
1,3485;0,5006;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;7,13E-06
1,462;0,4518;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;7,62E-06
1,5462;0,402;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;GORE;8,41E-06
0,0113;0,8976;353,15;1;1;100,8849558;100,8849558;0,2;101000;101000;7a;SSC Aquivion;
0,017;0,8752;353,15;1;1;67,05882353;67,05882353;0,2;101000;101000;7a;SSC Aquivion;
0,0517;0,8491;353,15;1;1;22,05029014;22,05029014;0,2;101000;101000;7a;SSC Aquivion;
0,1726;0,8011;353,15;1;1;6,604866744;6,604866744;0,2;101000;101000;7a;SSC Aquivion;5,14E-06
0,4189;0,7396;353,15;1;1;2,721413225;2,721413225;0,2;101000;101000;7a;SSC Aquivion;4,23E-06
0,6594;0,7009;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,12E-06
0,9983;0,639;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,11E-06
1,1675;0,6003;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,13E-06
1,338;0,5489;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,23E-06
1,4858;0,4997;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,39E-06
1,6295;0,4494;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;4,71E-06
1,7531;0,4005;353,15;1;1;2;2;0,2;101000;101000;7a;SSC Aquivion;5,10E-06
0,0113;0,8994;353,15;0,5;0,5;100,8849558;100,8849558;0,2;101000;101000;7b;SSC Aquivion;
0,0293;0,8796;353,15;0,5;0,5;38,90784983;38,90784983;0,2;101000;101000;7b;SSC Aquivion;
0,07;0,8505;353,15;0,5;0,5;16,28571429;16,28571429;0,2;101000;101000;7b;SSC Aquivion;1,21E-05
0,1963;0,8002;353,15;0,5;0,5;5,807437596;5,807437596;0,2;101000;101000;7b;SSC Aquivion;9,64E-06
0,4102;0,7406;353,15;0,5;0,5;2,779132131;2,779132131;0,2;101000;101000;7b;SSC Aquivion;8,34E-06
0,5921;0,698;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;7,99E-06
0,862;0,6392;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;8,16E-06
1,0238;0,5997;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;8,42E-06
1,2028;0,5501;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;8,99E-06
1,363;0,4998;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;9,46E-06
1,4876;0,451;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;1,01E-05
1,5902;0,4012;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;SSC Aquivion;1,06E-05
0,0195;0,9018;353,15;1;1;58,46153846;58,46153846;0,2;150000;150000;8a;SSC Aquivion;
0,0288;0,8824;353,15;1;1;39,58333333;39,58333333;0,2;150000;150000;8a;SSC Aquivion;
0,0847;0,8522;353,15;1;1;13,459268;13,459268;0,2;150000;150000;8a;SSC Aquivion;5,96E-06
0,2486;0,7976;353,15;1;1;4,585679807;4,585679807;0,2;150000;150000;8a;SSC Aquivion;5,25E-06
0,6157;0,744;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,04E-06
0,9306;0,7017;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,08E-06
1,38;0,6416;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,17E-06
1,6031;0,6016;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,27E-06
1,8349;0,5505;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,46E-06
2,0216;0,5006;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,69E-06
2,186;0,451;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;5,99E-06
2,3302;0,4013;353,15;1;1;2;2;0,2;150000;150000;8a;SSC Aquivion;6,31E-06
